category,city,fax,name,country,address2,address,brand,phone,state,postal_code,location,last_checked,location_geocells,image_url,id
4,Vancouver,(604) 647 2502,"The Westin Grand, Vancouver",Canada,,433 Robson Street,westin,(604) 602-1999,British Columbia,V6B 6L9,"49.2795249,-123.1169258",2010-09-24T09:04:31,"[u'a', u'a4', u'a46', u'a468', u'a4681', u'a46817', u'a468172', u'a468172d', u'a468172d0', u'a468172d0d', u'a468172d0d5', u'a468172d0d55', u'a468172d0d559']",http://www.starwoodhotels.com/pub/media/1148/wes1148ex.17041_tn.jpg,1148
1,Manassas,(703) 361-8440,Four Points by Sheraton Manassas Battlefield,United States,,10800 Vandor Lane,fourpoints,(703) 335-0000,Virginia,20109,"38.8022761,-77.5183624",2010-09-24T09:08:31,"[u'9', u'9a', u'9a6', u'9a6a', u'9a6a5', u'9a6a5c', u'9a6a5ca', u'9a6a5caa', u'9a6a5caa2', u'9a6a5caa2f', u'9a6a5caa2f9', u'9a6a5caa2f9c', u'9a6a5caa2f9c3']",http://www.starwoodhotels.com/pub/media/1730/fpt1730wb4_tn.jpg,1730
3,Calgary,(403) 288-4442,Four Points by Sheraton Hotel & Suites Calgary West,Canada,,8220 Bowridge Crescent NW,fourpoints,(403) 288-4441,Alberta,T3B 2V1,"51.0834434,-114.2069388",2010-09-24T09:12:31,"[u'a', u'a4', u'a4d', u'a4d4', u'a4d4d', u'a4d4d8', u'a4d4d86', u'a4d4d869', u'a4d4d869b', u'a4d4d869b8', u'a4d4d869b88', u'a4d4d869b88c', u'a4d4d869b88c5']",http://www.starwoodhotels.com/pub/media/304/na304ex1_tn.jpg,304
6,Rome,(39)(06) 4747307,"The St. Regis Grand Hotel, Rome",Italy,,"Via Vittorio E. Orlando, 3",stregis,(39)(06) 47091,,00185,"41.7805024,12.4395886",2010-09-24T09:16:33,"[u'c', u'ca', u'cac', u'caca', u'caca7', u'caca79', u'caca79c', u'caca79ca', u'caca79cae', u'caca79cae2', u'caca79cae25', u'caca79cae256', u'caca79cae2565']",http://www.starwoodhotels.com/pub/media/71/str71ex.12003_tn.jpg,71
3,Shanghai,(86)(21) 5779 8999,Le Méridien She Shan Shanghai,China,Sheshan,1288 Linyin Xin Road,lemeridien,(86)(21) 5779 9999,Shanghai,201602,"31.11657,121.36691",2010-09-23T12:09:46,"[u'd', u'd9', u'd9b', u'd9b4', u'd9b43', u'd9b430', u'd9b4305', u'd9b43056', u'd9b430560', u'd9b430560e', u'd9b430560e4', u'd9b430560e4d', u'd9b430560e4dd']",http://www.starwoodhotels.com/pub/media/1944/mer1944ex.88058_tn.jpg,1944
1,Kansas City,(816) 464-2543,Four Points by Sheraton Kansas City Airport,United States,,11832 NW Plaza Circle,fourpoints,(816) 464-2345,Missouri,64153,"39.309745,-94.68366",2010-09-24T09:20:33,"[u'8', u'8f', u'8f7', u'8f7a', u'8f7ae', u'8f7aec', u'8f7aecc', u'8f7aecc5', u'8f7aecc51', u'8f7aecc51b', u'8f7aecc51bf', u'8f7aecc51bf3', u'8f7aecc51bf3e']",http://www.starwoodhotels.com/pub/media/1567/fpt1567ex.37772_tn.jpg,1567
3,Osaka,(81)(6) 6773 3322,"Sheraton Miyako Hotel, Osaka",Japan,,"6-1-55, Uehonmachi, Tennoji-ku",sheraton,(81)(6) 6773 1111,Osaka,543-0001,"34.6663489,135.5204829",2010-09-23T21:12:41,"[u'd', u'de', u'de0', u'de02', u'de023', u'de0231', u'de0231f', u'de0231f6', u'de0231f6d', u'de0231f6d8', u'de0231f6d80', u'de0231f6d802', u'de0231f6d802b']",http://www.starwoodhotels.com/pub/media/3092/she3092gr.41626_tn.jpg,3092
4,Tampa,(813) 282-1859,The Westin Tampa Bay,United States,,7627 W. Courtney Campbell Causeway,westin,(813) 281-0000,Florida,33607,"27.968424,-82.565792",2010-09-23T07:44:14,"[u'9', u'98', u'983', u'983b', u'983bb', u'983bb0', u'983bb06', u'983bb069', u'983bb069b', u'983bb069bb', u'983bb069bbe', u'983bb069bbed', u'983bb069bbed0']",http://www.starwoodhotels.com/pub/media/1505/wes1505ex.74168_tn.jpg,1505
3,Richmond,(604) 278-0188,Sheraton Vancouver Airport Hotel,Canada,,7551 Westminster Highway,sheraton,(604) 273-7878,British Columbia,V6X 1A3,"49.1702533,-123.1408658",2010-09-24T09:24:33,"[u'a', u'a4', u'a46', u'a462', u'a462b', u'a462bc', u'a462bcf', u'a462bcfc', u'a462bcfc7', u'a462bcfc76', u'a462bcfc762', u'a462bcfc762f', u'a462bcfc762fe']",http://www.starwoodhotels.com/pub/media/3456/she3456ex.84695_tn.jpg,3456
4,Orlando,(407) 233-2201,The Westin Imagine Orlando,United States, ,9501 Universal Boulevard,westin,(407) 233-2200,Florida,32819,"28.433273,-81.459962",2010-09-23T08:20:29,"[u'9', u'98', u'989', u'9894', u'98942', u'98942b', u'98942b0', u'98942b04', u'98942b044', u'98942b044e', u'98942b044ee', u'98942b044ee6', u'98942b044ee64']",http://www.starwoodhotels.com/pub/media/1767/wes1767wb3_tn.jpg,1767
4,Avon,(970) 748-6006,"Sheraton Mountain Vista Villas, Avon / Vail Valley",United States,PO Box 3997,160 Beaver Creek Boulevard West,sheraton,(970) 748-6000,Colorado,81620,"39.6369645,-106.5247658",2010-09-24T05:23:10,"[u'8', u'8f', u'8f9', u'8f90', u'8f902', u'8f9027', u'8f9027f', u'8f9027ff', u'8f9027ff7', u'8f9027ff78', u'8f9027ff780', u'8f9027ff7804', u'8f9027ff7804a']",http://www.starwoodhotels.com/pub/media/5624/svo5624gr.40162_tn.jpg,5624
7,Mallorca,(34)(971) 629630,The St. Regis Mardavall Mallorca Resort,Spain,,Passeig Calvià s/n,stregis,(34)(971) 629629,,07181,"39.527612,2.551059",2010-09-24T09:28:33,"[u'c', u'ca', u'ca8', u'ca81', u'ca815', u'ca815b', u'ca815b2', u'ca815b2a', u'ca815b2a9', u'ca815b2a96', u'ca815b2a961', u'ca815b2a9615', u'ca815b2a96157']",http://www.starwoodhotels.com/pub/media/1403/str1403ex.8452_tn.jpg,1403
3,Beirut,(961)(1) 803802,Four Points by Sheraton Le Verdun,Lebanon,,"Verdun, Boulevard Saeb Salam",fourpoints,(961)(1) 803804,,,"33.8799265,35.493695",2010-09-23T19:14:23,"[u'c', u'cb', u'cb4', u'cb41', u'cb410', u'cb410d', u'cb410df', u'cb410dfb', u'cb410dfb3', u'cb410dfb34', u'cb410dfb34f', u'cb410dfb34fc', u'cb410dfb34fc0']",http://www.starwoodhotels.com/pub/media/1478/fpt1478ex.52623_tn.jpg,1478
4,Atlanta,(770) 399-5514,W Atlanta - Perimeter,United States,,111 Perimeter Center West,whotels,(770) 396-6800,Georgia,30346,"33.927373,-84.338522",2010-09-23T19:34:25,"[u'9', u'9a', u'9a1', u'9a10', u'9a102', u'9a1020', u'9a10201', u'9a102014', u'9a102014c', u'9a102014c6', u'9a102014c62', u'9a102014c625', u'9a102014c6257']",http://www.starwoodhotels.com/pub/media/1114/who1114lo.16663_tn.jpg,1114
3,Siem Reap,(855)(63) 963 901,Le Méridien Angkor,Cambodia,Khum Svay Dang Kum,Vithei Charles de Gaulle,lemeridien,(855)(63) 963 900,,,"13.3841035,103.863169",2010-09-22T21:03:08,"[u'd', u'd2', u'd24', u'd24b', u'd24b5', u'd24b51', u'd24b51c', u'd24b51c7', u'd24b51c74', u'd24b51c745', u'd24b51c7451', u'd24b51c74514', u'd24b51c74514e']",http://www.starwoodhotels.com/pub/media/1825/mer1825ex.5441_tn.jpg,1825
7,Geneva,(41)(22) 906 6667,"Hotel President Wilson, Geneva",Switzerland,,"47, Quai Wilson",luxury,(41)(22) 906 6666,,1211,"46.2143033,6.1517119",2010-09-24T09:32:34,"[u'e', u'e0', u'e01', u'e012', u'e0129', u'e0129b', u'e0129bd', u'e0129bdd', u'e0129bdd5', u'e0129bdd56', u'e0129bdd56a', u'e0129bdd56a6', u'e0129bdd56a66']",http://www.starwoodhotels.com/pub/media/1274/lux1274ex.70196_tn.jpg,1274
