category,city,fax,added,last_checked,name,phone,country,address2,location_geocells,coord,id,last_refreshed,state,image_url,__scatter__,key,address,postal_code,brand,location
4,New Delhi,(91)(11) 4266 2112,2010-08-21T05:39:27,2011-03-02T15:46:54,Sheraton New Delhi Hotel,(91)(11) 4266 1122,India,,"[u'c', u'cd', u'cd9', u'cd94', u'cd94d', u'cd94d6', u'cd94d64', u'cd94d648', u'cd94d6485', u'cd94d6485a', u'cd94d6485a3', u'cd94d6485a33', u'cd94d6485a33f']",,1996,2010-08-19T20:48:52,New Delhi,http://www.starwoodhotels.com/pub/media/1996/she1996ex.36134_tn.jpg,,87050,"District Centre, Saket",110017,sheraton,"28.52658,77.21616"
4,Detroit,(313) 442-1605,2010-08-20T06:52:48,2011-02-01T12:07:57,The Westin Book Cadillac Detroit,(313) 442-1600,United States,,"[u'9', u'9a', u'9ab', u'9ab0', u'9ab05', u'9ab05f', u'9ab05f2', u'9ab05f21', u'9ab05f218', u'9ab05f2180', u'9ab05f2180c', u'9ab05f2180cd', u'9ab05f2180cd4']",,3001,2010-08-18T22:00:42,Michigan,http://www.starwoodhotels.com/pub/media/3001/wes3001ex.72566_tn.jpg,,87051,1114 Washington Blvd,48226,westin,"42.331804,-83.050899"
2,Shenzhen,(86)(755) 8359 2988,2010-08-21T02:29:59,2011-02-26T17:45:43,Four Points by Sheraton Shenzhen,(86)(755) 8359 9999,China,Futian Free Trade Zone,"[u'd', u'd9', u'd90', u'd901', u'd9010', u'd90101', u'd901017', u'd9010170', u'd90101700', u'd901017004', u'd9010170049', u'd90101700499', u'd901017004997']",,1489,2010-08-19T17:36:21,Guangdong,http://www.starwoodhotels.com/pub/media/1489/fpt1489ex.77572_tn.jpg,,87052,5 Guihua Road,518038,fourpoints,"22.5110968,114.0608687"
6,Kauai,(808) 826-1166,2010-08-21T02:19:57,2011-02-26T12:45:38,The St. Regis Princeville Resort,(808) 826-9644,United States,P.O. Box 223069,"[u'8', u'82', u'82f', u'82fe', u'82fec', u'82fec3', u'82fec39', u'82fec398', u'82fec3983', u'82fec3983d', u'82fec3983d9', u'82fec3983d95', u'82fec3983d95f']",,189,2010-08-19T17:26:18,Hawaii,http://www.starwoodhotels.com/pub/media/189/str189po.84141_tn.jpg,,87053,"5520 Ka Haku Road, Princeville",96722,stregis,"22.220973,-159.496939"
2,Wakefield,(781) 245-0842,2010-08-20T06:54:49,2011-02-01T13:07:58,Sheraton Colonial Boston North Hotel & Conference Center,(781) 245-9300,United States,,"[u'9', u'9a', u'9af', u'9af1', u'9af13', u'9af13f', u'9af13f6', u'9af13f6d', u'9af13f6d0', u'9af13f6d0d', u'9af13f6d0d9', u'9af13f6d0d96', u'9af13f6d0d965']",,232,2010-08-18T22:02:44,Massachusetts,http://www.starwoodhotels.com/pub/media/232/she232ex.22023_tn.jpg,,87054,One Audubon Road,01880,sheraton,"42.512038,-71.041913"
1,Huntsville,(256) 464-9116,2010-08-21T11:38:22,2011-01-25T09:04:04,Four Points by Sheraton Huntsville Airport,(256) 772-9661,United States,P.O. Box 20068,"[u'9', u'9a', u'9a0', u'9a06', u'9a063', u'9a0630', u'9a06306', u'9a06306e', u'9a06306e7', u'9a06306e70', u'9a06306e70f', u'9a06306e70f2', u'9a06306e70f24']",,879,2010-08-20T02:47:55,Alabama,http://www.starwoodhotels.com/pub/media/879/fpt879ex.24987_tn.jpg,,89048,1000 Glenn Hearn Boulevard,35824,fourpoints,"34.6489604,-86.7766154"
3,Langkawi,(60)(4) 952 8050,2010-08-20T23:05:26,2011-02-22T09:44:14,Sheraton Langkawi Beach Resort,(60)(4) 952 8000,Malaysia,,"[u'd', u'd0', u'd09', u'd096', u'd0965', u'd09654', u'd096549', u'd096549e', u'd096549ea', u'd096549ea0', u'd096549ea0e', u'd096549ea0e8', u'd096549ea0e8e']",,281,2010-08-19T14:05:44,,http://www.starwoodhotels.com/pub/media/281/she281gr.87428_tn.jpg,,89049,Teluk Nibong,07000,sheraton,"6.3605556,99.7011111"
3,Atlantic Beach,(252) 240-1452,2010-08-21T11:44:23,2011-01-25T12:04:06,Sheraton Atlantic Beach Oceanfront Hotel,(252) 240-1155,United States,,"[u'9', u'9a', u'9a4', u'9a43', u'9a433', u'9a4336', u'9a43369', u'9a433697', u'9a4336974', u'9a4336974b', u'9a4336974b7', u'9a4336974b7f', u'9a4336974b7f6']",,677,2010-08-20T02:53:57,North Carolina,http://www.starwoodhotels.com/pub/media/677/she677ex.78562_tn.jpg,,89050,2717 W. Fort Macon Road,28512,sheraton,"34.6981658,-76.7745278"
4,Pittsburgh,(412) 261-2932,2010-08-20T06:56:49,2011-02-01T14:07:58,Sheraton Station Square Hotel,(412) 261-2000,United States,,"[u'9', u'9a', u'9a9', u'9a97', u'9a978', u'9a9781', u'9a97814', u'9a97814c', u'9a97814c9', u'9a97814c93', u'9a97814c93f', u'9a97814c93fc', u'9a97814c93fca']",,693,2010-08-18T22:04:44,Pennsylvania,http://www.starwoodhotels.com/pub/media/693/na693ex3_tn.jpg,,89051,300 W Station Square Dr,15219,sheraton,"40.4368864,-80.0114098"
3,Thorold,(905) 984-6691,2010-08-20T06:58:49,2011-02-01T15:07:58,Four Points by Sheraton St. Catharines Niagara Suites,(905) 984-8484,Canada,,"[u'9', u'9a', u'9ab', u'9ab7', u'9ab76', u'9ab766', u'9ab7661', u'9ab7661c', u'9ab7661cd', u'9ab7661cd0', u'9ab7661cd08', u'9ab7661cd081', u'9ab7661cd0814']",,1355,2010-08-18T22:06:44,Ontario,http://www.starwoodhotels.com/pub/media/1355/fpt1355gr.29305_tn.jpg,,89052,3530 Schmon Parkway,L2V 4Y6,fourpoints,"43.117306,-79.2402315"
3,Minneapolis,(612) 455-8410,2010-08-20T07:00:49,2011-02-01T16:07:58,Aloft Minneapolis,(612) 455-8400,United States,,"[u'8', u'8f', u'8ff', u'8ffb', u'8ffbe', u'8ffbee', u'8ffbee7', u'8ffbee7f', u'8ffbee7f3', u'8ffbee7f3e', u'8ffbee7f3e6', u'8ffbee7f3e60', u'8ffbee7f3e600']",,3074,2010-08-18T22:08:44,Minnesota,http://www.starwoodhotels.com/pub/media/3074/alf3074ex.71897_tn.jpg,,89053,900 Washington Avenue South,55415,alofthotels,"44.976526,-93.2552125"
4,Mumbai,(91)(22) 2838 0101,2010-08-21T00:57:40,2011-02-24T19:45:04,Le Royal Méridien Mumbai,(91)(22) 2838 0000,India,Andheri (East),"[u'c', u'c7', u'c78', u'c78f', u'c78f5', u'c78f58', u'c78f58d', u'c78f58d4', u'c78f58d46', u'c78f58d462', u'c78f58d4626', u'c78f58d4626f', u'c78f58d4626f8']",,1830,2010-08-19T16:04:02,Maharashtra,http://www.starwoodhotels.com/pub/media/1830/mer1830wn.59055_tn.jpg,,89054,Sahar Airport Road,400 099,lemeridien,"19.0951779,72.8533271"
2,Agra,(91)(562) 2331730,2010-08-21T04:54:20,2011-03-01T17:46:37,"ITC Mughal, Agra",(91)(562) 4021700,India,,"[u'c', u'cd', u'cd3', u'cd3d', u'cd3dc', u'cd3dc8', u'cd3dc80', u'cd3dc800', u'cd3dc8002', u'cd3dc8002f', u'cd3dc8002fb', u'cd3dc8002fbf', u'cd3dc8002fbf7']",,422,2010-08-19T20:04:46,Uttar Pradesh,http://www.starwoodhotels.com/pub/media/422/she422ex.49102_tn.jpg,,89055,Taj Ganj,282001,luxury,"27.1595687,78.048075"
2,Harrisburg,(717) 561-8398,2010-08-20T07:02:49,2011-02-01T17:07:59,Four Points by Sheraton Harrisburg,(717) 561-2800,United States,,"[u'9', u'9a', u'9ac', u'9ac3', u'9ac33', u'9ac334', u'9ac3342', u'9ac3342a', u'9ac3342a1', u'9ac3342a19', u'9ac3342a196', u'9ac3342a1963', u'9ac3342a1963b']",,788,2010-08-18T22:10:45,Pennsylvania,http://www.starwoodhotels.com/pub/media/788/fpt788ex.40393_tn.jpg,,89056,800 East Park Drive,17111,fourpoints,"40.273538,-76.814486"
3,Rosemont,(847) 699-0391,2010-08-20T07:04:50,2011-02-01T18:07:59,Sheraton Gateway Suites Chicago O'Hare,(847) 699-6300,United States,,"[u'9', u'9a', u'9a8', u'9a8b', u'9a8bc', u'9a8bca', u'9a8bca8', u'9a8bca89', u'9a8bca892', u'9a8bca892e', u'9a8bca892ea', u'9a8bca892eaa', u'9a8bca892eaab']",,40,2010-08-18T22:12:45,Illinois,http://www.starwoodhotels.com/pub/media/40/she40re.22986_tn.jpg,,89057,6501 North Mannheim Road,60018,sheraton,"41.9966099,-87.8844369"
4,Brussels,(32)(2) 7108080,2010-08-20T07:06:50,2011-02-01T19:07:59,Sheraton Brussels Airport Hotel,(32)(2) 7108000,Belgium,,"[u'e', u'e0', u'e08', u'e085', u'e0852', u'e0852d', u'e0852d0', u'e0852d0a', u'e0852d0ae', u'e0852d0ae4', u'e0852d0ae42', u'e0852d0ae424', u'e0852d0ae4240']",,295,2010-08-18T22:14:45,,http://www.starwoodhotels.com/pub/media/295/she295ex.10505_tn.jpg,,89058,Brussels National Airport,1930,sheraton,"50.899017,4.4858997"
5,Ayrshire,(44)(1655) 331706,2010-08-20T07:08:50,2011-02-01T20:07:59,"Turnberry Resort, Scotland",(44)(1655) 331000,United Kingdom,,"[u'b', u'b5', u'b5f', u'b5f8', u'b5f8c', u'b5f8c9', u'b5f8c98', u'b5f8c988', u'b5f8c9883', u'b5f8c9883e', u'b5f8c9883e3', u'b5f8c9883e35', u'b5f8c9883e35f']",,1109,2010-08-18T22:16:45,Scotland,http://www.starwoodhotels.com/pub/media/1109/lux1109ex.81479_tn.jpg,,89059,Turnberry,KA26 9LT,luxury,"55.3119222,-4.8317552"
3,Charlotte,(704) 393-2207,2010-08-20T03:26:06,2011-01-26T13:05:19,Sheraton Charlotte Airport Hotel,(704) 392-1200,United States,,"[u'9', u'9a', u'9a1', u'9a1c', u'9a1c1', u'9a1c17', u'9a1c17b', u'9a1c17b2', u'9a1c17b2c', u'9a1c17b2c3', u'9a1c17b2c34', u'9a1c17b2c34f', u'9a1c17b2c34ff']",,942,2010-08-18T18:36:16,North Carolina,http://www.starwoodhotels.com/pub/media/942/she942lo.73344_tn.jpg,,89060,3315 Scott Futrell Drive,28208,sheraton,"35.237487,-80.921946"
3,San Antonio,(210) 227-3299,2010-08-21T06:01:30,2011-03-03T02:47:02,Sheraton Gunter Hotel San Antonio,(210) 227-3241,United States,,"[u'8', u'8d', u'8dc', u'8dc3', u'8dc3f', u'8dc3f7', u'8dc3f79', u'8dc3f796', u'8dc3f796b', u'8dc3f796ba', u'8dc3f796baa', u'8dc3f796baac', u'8dc3f796baac7']",,1291,2010-08-19T21:10:59,Texas,http://www.starwoodhotels.com/pub/media/1291/she1291ex.36686_tn.jpg,,89061,205 East Houston Street,78205,sheraton,"29.426862,-98.490995"
1,Lenggries,(49)(8042) 4224,2010-08-20T07:10:50,2011-02-01T21:08:00,Four Points by Sheraton Brauneck,(49)(8042) 5020,Germany,,"[u'e', u'e0', u'e04', u'e04a', u'e04aa', u'e04aa7', u'e04aa74', u'e04aa74c', u'e04aa74c5', u'e04aa74c50', u'e04aa74c508', u'e04aa74c5080', u'e04aa74c5080d']",,117,2010-08-18T22:18:45,,http://www.starwoodhotels.com/pub/media/117/fpt117ex.7806_tn.jpg,,93049,Muenchner Strasse 25,83661,fourpoints,"47.68625,11.57274"
5,Urayasu,(81)(47) 355 5566,2010-08-20T03:44:08,2011-01-27T22:06:41,Sheraton Grande Tokyo Bay Hotel,(81)(47) 355 5555,Japan,,"[u'd', u'de', u'de0', u'de0d', u'de0d9', u'de0d9d', u'de0d9de', u'de0d9de3', u'de0d9de33', u'de0d9de33b', u'de0d9de33b5', u'de0d9de33b56', u'de0d9de33b569']",,361,2010-08-18T18:54:18,Chiba,http://www.starwoodhotels.com/pub/media/361/she361ex.69259_tn.jpg,,93050,1-9 Maihama,279-0031,sheraton,"35.6326272,139.8854506"
4,Ottawa,(613) 234-5396,2010-08-20T07:12:51,2011-02-01T22:08:00,The Westin Ottawa,(613) 560 7000,Canada,,"[u'b', u'b0', u'b04', u'b044', u'b0448', u'b04486', u'b04486d', u'b04486d8', u'b04486d8e', u'b04486d8e0', u'b04486d8e08', u'b04486d8e081', u'b04486d8e081c']",,1083,2010-08-18T22:20:46,Ontario,http://www.starwoodhotels.com/pub/media/1083/wes1083gr.66750_tn.jpg,,93051,11 Colonel By Drive,K1N 9H4,westin,"45.4251263,-75.6930209"
4,Dubai,(971)(4) 3543111,2010-08-21T03:46:09,2011-02-28T07:46:12,Four Points by Sheraton Downtown Dubai,(971)(4) 3543333,United Arab Emirates,Bur Dubai,"[u'c', u'cc', u'cc1', u'cc1f', u'cc1fb', u'cc1fb9', u'cc1fb98', u'cc1fb987', u'cc1fb9870', u'cc1fb9870a', u'cc1fb9870af', u'cc1fb9870afc', u'cc1fb9870afcd']",,3093,2010-08-19T18:54:35,,http://www.starwoodhotels.com/pub/media/3093/fpt3093ex.40943_tn.jpg,,93052,"Mankhool Road, 4C Street",,fourpoints,"25.25,55.3"
3,Hayes,(44)(208) 7509150,2010-08-20T06:38:47,2011-02-01T05:07:55,Sheraton Skyline Hotel London Heathrow,(44)(208) 7592535,United Kingdom,,"[u'b', u'b5', u'b5d', u'b5d7', u'b5d74', u'b5d74f', u'b5d74f2', u'b5d74f2a', u'b5d74f2a9', u'b5d74f2a9f', u'b5d74f2a9fd', u'b5d74f2a9fd2', u'b5d74f2a9fd22']",,268,2010-08-18T21:46:41,England,http://www.starwoodhotels.com/pub/media/268/eu268ex3_tn.jpg,,93053,"Heathrow Airport, Bath Road",UB3 5BP,sheraton,"51.481175,-0.436792"
4,New Orleans,(504) 595-5552,2010-08-21T06:43:38,2011-03-04T00:47:16,Sheraton New Orleans Hotel,(504) 525-2500,United States,,"[u'8', u'8d', u'8dd', u'8ddd', u'8dddd', u'8dddd7', u'8dddd78', u'8dddd787', u'8dddd7874', u'8dddd7874c', u'8dddd7874c6', u'8dddd7874c65', u'8dddd7874c65e']",,353,2010-08-19T21:53:06,Louisiana,http://www.starwoodhotels.com/pub/media/353/she353ex.88763_tn.jpg,,93054,500 Canal Street,70130,sheraton,"29.951872,-90.067726"
3,Philadelphia,(215) 387-7920,2010-08-20T07:14:51,2011-02-01T23:08:00,Sheraton Philadelphia University City Hotel,(215) 387-8000,United States,,"[u'9', u'9a', u'9ac', u'9ac4', u'9ac4e', u'9ac4e2', u'9ac4e21', u'9ac4e21f', u'9ac4e21f1', u'9ac4e21f11', u'9ac4e21f119', u'9ac4e21f1194', u'9ac4e21f11948']",,992,2010-08-18T22:22:46,Pennsylvania,http://www.starwoodhotels.com/pub/media/992/she992ex.82286_tn.jpg,,93055,3549 Chestnut Street,19104,sheraton,"39.954622,-75.194077"
3,Macaé,(55)(22) 21062686,2010-08-20T21:35:11,2011-02-20T11:43:26,Four Points by Sheraton Macaé,(55)(22) 21062700,Brazil,Bairro da Gloria,"[u'3', u'3c', u'3c0', u'3c04', u'3c041', u'3c0418', u'3c04181', u'3c04181f', u'3c04181fe', u'3c04181fe2', u'3c04181fe2e', u'3c04181fe2e5', u'3c04181fe2e59']",,1535,2010-08-19T12:34:31,Rio De Janeiro,http://www.starwoodhotels.com/pub/media/1535/fpt1535ex.86098_tn.jpg,,93056,110 Rua Dolores Carvalho Vasconcelos,27937-600,fourpoints,"-22.4015016,-41.7944967"
4,Taipei,(886)(2) 8770 6555,2010-08-21T03:38:09,2011-02-28T03:46:09,The Westin Taipei,(886)(2) 8770 6565,Taiwan,Section 3,"[u'd', u'd9', u'd91', u'd91e', u'd91e9', u'd91e9d', u'd91e9d0', u'd91e9d02', u'd91e9d023', u'd91e9d023d', u'd91e9d023d2', u'd91e9d023d2a', u'd91e9d023d2ae']",,1191,2010-08-19T18:46:34,,http://www.starwoodhotels.com/pub/media/1191/wes1191ex.35557_tn.jpg,,93057,133 Nanjing East Road,104,westin,"25.052689,121.555151"
2,South San Francisco,(650) 553-9466,2010-08-20T07:16:51,2011-02-02T00:08:00,Four Points by Sheraton Hotel & Suites San Francisco Airport,(650) 624-3700,United States,,"[u'8', u'8e', u'8e6', u'8e62', u'8e62d', u'8e62d5', u'8e62d59', u'8e62d598', u'8e62d598e', u'8e62d598ee', u'8e62d598eef', u'8e62d598eef5', u'8e62d598eef58']",,1156,2010-08-18T22:24:46,California,http://www.starwoodhotels.com/pub/media/1156/fpt1156ex.17197_tn.jpg,,93058,264 South Airport Boulevard,94080,fourpoints,"37.647363,-122.405908"
4,Vancouver,(604) 647 2502,2010-08-20T07:18:52,2011-02-02T01:08:00,"The Westin Grand, Vancouver",(604) 602-1999,Canada,,"[u'a', u'a4', u'a46', u'a468', u'a4681', u'a46817', u'a468172', u'a468172d', u'a468172d0', u'a468172d0d', u'a468172d0d5', u'a468172d0d55', u'a468172d0d559']",,1148,2010-08-18T22:26:46,British Columbia,http://www.starwoodhotels.com/pub/media/1148/wes1148ex.17041_tn.jpg,,93059,433 Robson Street,V6B 6L9,westin,"49.2795249,-123.1169258"
1,Manassas,(703) 361-8440,2010-08-20T07:20:52,2011-02-02T02:08:00,Four Points by Sheraton Manassas Battlefield,(703) 335-0000,United States,,"[u'9', u'9a', u'9a6', u'9a6a', u'9a6a5', u'9a6a5c', u'9a6a5ca', u'9a6a5caa', u'9a6a5caa2', u'9a6a5caa2f', u'9a6a5caa2f9', u'9a6a5caa2f9c', u'9a6a5caa2f9c3']",,1730,2010-08-18T22:28:46,Virginia,http://www.starwoodhotels.com/pub/media/1730/fpt1730wb4_tn.jpg,,94044,10800 Vandor Lane,20109,fourpoints,"38.8022761,-77.5183624"
3,Calgary,(403) 288-4442,2010-08-20T07:22:52,2011-02-02T03:08:01,Four Points by Sheraton Hotel & Suites Calgary West,(403) 288-4441,Canada,,"[u'a', u'a4', u'a4d', u'a4d4', u'a4d4d', u'a4d4d8', u'a4d4d86', u'a4d4d869', u'a4d4d869b', u'a4d4d869b8', u'a4d4d869b88', u'a4d4d869b88c', u'a4d4d869b88c5']",,304,2010-08-18T22:30:46,Alberta,http://www.starwoodhotels.com/pub/media/304/na304ex1_tn.jpg,,94045,8220 Bowridge Crescent NW,T3B 2V1,fourpoints,"51.0834434,-114.2069388"
6,Rome,(39)(06) 4747307,2010-08-20T07:24:52,2011-02-02T04:08:01,"The St. Regis Grand Hotel, Rome",(39)(06) 47091,Italy,,"[u'c', u'ca', u'cac', u'caca', u'caca7', u'caca79', u'caca79c', u'caca79ca', u'caca79cae', u'caca79cae2', u'caca79cae25', u'caca79cae256', u'caca79cae2565']",,71,2010-08-18T22:32:46,,http://www.starwoodhotels.com/pub/media/71/str71ex.12003_tn.jpg,,94046,"Via Vittorio E. Orlando, 3",00185,stregis,"41.7805024,12.4395886"
3,Shanghai,(86)(21) 5779 8999,2010-08-21T07:21:43,2011-01-20T00:03:03,Le Méridien She Shan Shanghai,(86)(21) 5779 9999,China,Sheshan,"[u'd', u'd9', u'd9b', u'd9b4', u'd9b43', u'd9b430', u'd9b4305', u'd9b43056', u'd9b430560', u'd9b430560e', u'd9b430560e4', u'd9b430560e4d', u'd9b430560e4dd']",,1944,2010-08-19T22:31:11,Shanghai,http://www.starwoodhotels.com/pub/media/1944/mer1944ex.88058_tn.jpg,,94047,1288 Linyin Xin Road,201602,lemeridien,"31.11657,121.36691"
1,Kansas City,(816) 464-2543,2010-08-20T07:26:52,2011-02-02T05:08:01,Four Points by Sheraton Kansas City Airport,(816) 464-2345,United States,,"[u'8', u'8f', u'8f7', u'8f7a', u'8f7ae', u'8f7aec', u'8f7aecc', u'8f7aecc5', u'8f7aecc51', u'8f7aecc51b', u'8f7aecc51bf', u'8f7aecc51bf3', u'8f7aecc51bf3e']",,1567,2010-08-18T22:34:47,Missouri,http://www.starwoodhotels.com/pub/media/1567/fpt1567ex.37772_tn.jpg,,94048,11832 NW Plaza Circle,64153,fourpoints,"39.309745,-94.68366"
3,Osaka,(81)(6) 6773 3322,2010-08-21T11:40:22,2011-01-25T10:04:05,"Sheraton Miyako Hotel, Osaka",(81)(6) 6773 1111,Japan,,"[u'd', u'de', u'de0', u'de02', u'de023', u'de0231', u'de0231f', u'de0231f6', u'de0231f6d', u'de0231f6d8', u'de0231f6d80', u'de0231f6d802', u'de0231f6d802b']",,3092,2010-08-20T02:49:56,Osaka,http://www.starwoodhotels.com/pub/media/3092/she3092gr.41626_tn.jpg,,94049,"6-1-55, Uehonmachi, Tennoji-ku",543-0001,sheraton,"34.6663489,135.5204829"
4,Tampa,(813) 282-1859,2010-08-21T05:15:23,2011-03-02T03:46:44,The Westin Tampa Bay,(813) 281-0000,United States,,"[u'9', u'98', u'983', u'983b', u'983bb', u'983bb0', u'983bb06', u'983bb069', u'983bb069b', u'983bb069bb', u'983bb069bbe', u'983bb069bbed', u'983bb069bbed0']",,1505,2010-08-19T20:24:49,Florida,http://www.starwoodhotels.com/pub/media/1505/wes1505ex.74168_tn.jpg,,94050,7627 W. Courtney Campbell Causeway,33607,westin,"27.968424,-82.565792"
3,Richmond,(604) 278-0188,2010-08-20T07:28:52,2011-02-02T06:08:01,Sheraton Vancouver Airport Hotel,(604) 273-7878,Canada,,"[u'a', u'a4', u'a46', u'a462', u'a462b', u'a462bc', u'a462bcf', u'a462bcfc', u'a462bcfc7', u'a462bcfc76', u'a462bcfc762', u'a462bcfc762f', u'a462bcfc762fe']",,3456,2010-08-18T22:36:47,British Columbia,http://www.starwoodhotels.com/pub/media/3456/she3456ex.84695_tn.jpg,,94051,7551 Westminster Highway,V6X 1A3,sheraton,"49.1702533,-123.1408658"
